#Release 10.1.03 - par K.39 (lin64)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Tue Nov 29 16:48:58 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       labkit_map.ncd
#OUTPUT FILE:      labkit_pad.csv
#PART TYPE:        xc2v6000
#SPEED GRADE:      -4
#PACKAGE:          bf957
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
A2,,,GND,,,,,,,,,,,,,
A3,,,GND,,,,,,,,,,,,,
A4,user3<0>,IOB,IO_L21P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
A5,user3<1>,IOB,IO_L21N_1/VREF_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
A6,user3<2>,IOB,IO_L22P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
A7,user3<3>,IOB,IO_L22N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
A8,user1<4>,IOB,IO_L29P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
A9,user1<5>,IOB,IO_L29N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
A10,user1<6>,IOB,IO_L53P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
A11,user1<7>,IOB,IO_L53N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
A12,,DIFFM,IO_L74P_1,UNUSED,,1,,,,,,,,,,
A13,,DIFFS,IO_L74N_1,UNUSED,,1,,,,,,,,,,
A14,user3<22>,IOB,IO_L94P_1/VREF_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
A15,user3<23>,IOB,IO_L94N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
A16,,,GND,,,,,,,,,,,,,
A17,,DIFFM,IO_L96P_0/GCLK4S,UNUSED,,0,,,,,,,,,,
A18,user2<8>,IOB,IO_L96N_0/GCLK5P,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
A19,user2<9>,IOB,IO_L76P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
A20,user2<24>,IOB,IO_L76N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
A21,user2<25>,IOB,IO_L70P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
A22,user2<26>,IOB,IO_L70N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
A23,user2<27>,IOB,IO_L52P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
A24,user2<28>,IOB,IO_L52N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
A25,user4<28>,IOB,IO_L27P_0/VREF_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
A26,user4<29>,IOB,IO_L27N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
A27,user4<30>,IOB,IO_L06P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
